	idacademischetitel	academischetitel	old_idacademischetitel
0	1		batfra_1
1	3	dr.	batfra_3
2	4	mr.	batfra_4
3	5	lic.	batfra_5
4	6	mr.dr.	batfra_6
5	7	prof.dr.	batfra_7
6	8	prof.mr.	batfra_8
7	9	ds.	batfra_9
8	10	prof.ds.	batfra_10
0	1		negentiende_eeuw_1
1	2	mr.	negentiende_eeuw_2
2	3	dr.	negentiende_eeuw_3
3	4	mr.dr.	negentiende_eeuw_4
4	5	prof.dr.	negentiende_eeuw_5
5	6	prof.mr.	negentiende_eeuw_6
6	7	prof.dr.mr.	negentiende_eeuw_7
7	8	ds.	negentiende_eeuw_8
8	9	prof.ds.	negentiende_eeuw_9
9	10	lic.	negentiende_eeuw_10
0	1		me_1
1	2	dr.	me_2
2	3	mr.	me_3
3	5	lic.	me_5
4	6	bac.	me_6
0	1		divperioden_1
1	3	dr.	divperioden_3
2	4	mr.	divperioden_4
0	3	dr.	republiek_3
1	4	mr.	republiek_4
2	6	mr.dr.	republiek_6
3	7		republiek_7
